date,weekday,category,detail,reason
2005-11-04,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2005-11-15,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2006-01-11,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2006-01-26,Thursday,FIXED_HOLIDAY,Republic Day,
2006-02-09,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2006-03-15,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2006-04-06,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2006-04-11,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2006-04-14,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2006-05-01,Monday,FIXED_HOLIDAY,Maharashtra Day,
2006-08-15,Tuesday,FIXED_HOLIDAY,Independence Day,
2006-10-02,Monday,FIXED_HOLIDAY,Gandhi Jayanti,
2006-10-24,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2006-10-25,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2006-12-25,Monday,FIXED_HOLIDAY,Christmas,
2007-01-01,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2007-01-26,Friday,FIXED_HOLIDAY,Republic Day,
2007-01-30,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2007-02-16,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2007-03-27,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2007-04-06,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2007-05-01,Tuesday,FIXED_HOLIDAY,Maharashtra Day,
2007-05-02,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2007-08-15,Wednesday,FIXED_HOLIDAY,Independence Day,
2007-10-02,Tuesday,FIXED_HOLIDAY,Gandhi Jayanti,
2007-12-21,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2007-12-25,Tuesday,FIXED_HOLIDAY,Christmas,
2008-03-06,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2008-03-20,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2008-03-21,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2008-04-14,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2008-04-18,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2008-05-01,Thursday,FIXED_HOLIDAY,Maharashtra Day,
2008-05-19,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2008-08-15,Friday,FIXED_HOLIDAY,Independence Day,
2008-09-03,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2008-10-02,Thursday,FIXED_HOLIDAY,Gandhi Jayanti,
2008-10-09,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2008-10-30,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2008-11-13,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2008-11-27,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2008-12-09,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2008-12-25,Thursday,FIXED_HOLIDAY,Christmas,
2009-01-08,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-01-26,Monday,FIXED_HOLIDAY,Republic Day,
2009-02-23,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-03-10,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-03-11,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-04-03,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-04-07,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-04-10,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-04-14,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-04-30,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-05-01,Friday,FIXED_HOLIDAY,Maharashtra Day,
2009-09-21,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-09-28,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-10-02,Friday,FIXED_HOLIDAY,Gandhi Jayanti,
2009-10-13,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-10-19,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-11-02,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2009-12-25,Friday,FIXED_HOLIDAY,Christmas,
2009-12-28,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2010-01-01,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2010-01-26,Tuesday,FIXED_HOLIDAY,Republic Day,
2010-02-12,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2010-03-01,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2010-03-24,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2010-04-02,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2010-04-14,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2010-09-10,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2010-11-17,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2010-12-17,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2011-01-26,Wednesday,FIXED_HOLIDAY,Republic Day,
2011-03-02,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2011-04-12,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2011-04-14,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2011-04-22,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2011-08-15,Monday,FIXED_HOLIDAY,Independence Day,
2011-08-31,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2011-09-01,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2011-10-06,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2011-10-27,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2011-11-07,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2011-11-10,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2011-12-06,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2012-01-26,Thursday,FIXED_HOLIDAY,Republic Day,
2012-02-20,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2012-03-08,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2012-04-05,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2012-04-06,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2012-05-01,Tuesday,FIXED_HOLIDAY,Maharashtra Day,
2012-08-15,Wednesday,FIXED_HOLIDAY,Independence Day,
2012-08-20,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2012-09-19,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2012-10-02,Tuesday,FIXED_HOLIDAY,Gandhi Jayanti,
2012-10-24,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2012-11-14,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2012-11-28,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2012-12-25,Tuesday,FIXED_HOLIDAY,Christmas,
2013-03-27,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2013-03-29,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2013-04-19,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2013-04-24,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2013-05-01,Wednesday,FIXED_HOLIDAY,Maharashtra Day,
2013-08-09,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2013-08-15,Thursday,FIXED_HOLIDAY,Independence Day,
2013-09-09,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2013-10-02,Wednesday,FIXED_HOLIDAY,Gandhi Jayanti,
2013-10-16,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2013-11-04,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2013-11-15,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2013-12-25,Wednesday,FIXED_HOLIDAY,Christmas,
2014-02-27,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-03-17,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-04-08,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-04-14,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-04-18,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-04-24,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-05-01,Thursday,FIXED_HOLIDAY,Maharashtra Day,
2014-07-29,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-08-15,Friday,FIXED_HOLIDAY,Independence Day,
2014-08-29,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-10-02,Thursday,FIXED_HOLIDAY,Gandhi Jayanti,
2014-10-03,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-10-06,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-10-15,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-10-24,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-11-04,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-11-06,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2014-12-25,Thursday,FIXED_HOLIDAY,Christmas,
2015-01-26,Monday,FIXED_HOLIDAY,Republic Day,
2015-02-17,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2015-03-06,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2015-04-02,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2015-04-03,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2015-04-14,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2015-05-01,Friday,FIXED_HOLIDAY,Maharashtra Day,
2015-09-17,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2015-09-25,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2015-10-02,Friday,FIXED_HOLIDAY,Gandhi Jayanti,
2015-10-22,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2015-11-12,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2015-11-25,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2015-12-25,Friday,FIXED_HOLIDAY,Christmas,
2016-01-26,Tuesday,FIXED_HOLIDAY,Republic Day,
