date,weekday,category,detail,reason
2024-05-20,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2024-06-17,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2024-07-17,Wednesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2024-08-15,Thursday,FIXED_HOLIDAY,Independence Day,
2024-10-02,Wednesday,FIXED_HOLIDAY,Gandhi Jayanti,
2024-11-15,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2024-11-20,Wednesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2024-12-25,Wednesday,FIXED_HOLIDAY,Christmas,
2025-02-26,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2025-03-14,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2025-03-31,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2025-04-10,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2025-04-14,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2025-04-18,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2025-05-01,Thursday,FIXED_HOLIDAY,Maharashtra Day,
2025-08-15,Friday,FIXED_HOLIDAY,Independence Day,
2025-08-27,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
2025-10-02,Thursday,FIXED_HOLIDAY,Gandhi Jayanti,
2025-10-22,Wednesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2025-11-05,Wednesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2025-12-25,Thursday,FIXED_HOLIDAY,Christmas,
2026-01-15,Thursday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2026-01-26,Monday,FIXED_HOLIDAY,Republic Day,
2026-03-03,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2026-03-26,Thursday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2026-03-31,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2026-04-03,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2026-04-14,Tuesday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2026-05-01,Friday,FIXED_HOLIDAY,Maharashtra Day,
2026-05-28,Thursday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2026-06-26,Friday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2026-09-14,Monday,HOLIDAY_NON_FIXED,Market closed (NSE serves stale file),
2026-09-21,Monday,NETWORK_ERROR,,"Recent date (1d old) — will retry. new: all_DATE1_NaT (samples=[' 21-Sep-2026', ' 21-Sep-2026', ' 21-Sep-2026']) | old: http_404"
